year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,12739,4009440,25400,127,378,631,131,0.468773553,23980,11241
1993,12343,2566064,19622,110,286,493,101,0.445521809,22260,9917
1994,11500,4116859,22319,100,330,559,119,0.462619357,21400,9900
1995,10703,2794791,20726,106,329,516,99,0.52603421,22580,11877
1996,12964,4152931,24882,112,385,620,100,0.424863844,22540,9576
1997,11603,2956532,18464,95,257,475,79,0.452691561,21200,9597
1998,13276,3729384,23490,139,352,571,130,0.39710373,22020,8744
1999,11906,3818545,20174,101,315,492,95,0.466116954,22300,10394
2000,13204,4258444,26393,135,391,652,121,0.407904747,22300,9096
2001,12247,3771267,23324,113,357,574,103,0.404331066,20560,8313
2002,13378,3801871,21833,123,320,544,106,0.391909605,22000,8622
2003,12453,2926842,20596,105,331,516,93,0.447027607,22520,10067
2004,12343,4067105,24989,122,378,638,123,0.497057688,24540,12197
2005,11430,2186875,15526,65,239,385,64,0.489752186,22400,10970
2006,12171,3153813,22647,99,357,573,107,0.446793729,22000,9829
2007,14165,4677666,23892,122,343,596,111,0.335022691,21300,7135
2008,13183,3335781,17365,80,256,431,90,0.383437858,21380,8197
2009,11521,2971978,23384,129,350,605,118,0.416369384,19740,8219
2010,12543,4017402,20508,104,311,519,116,0.408386763,21200,8657
2011,11235,3296577,21177,85,320,549,82,0.483707978,21760,10525
2012,9714,2841933,17469,96,250,431,71,0.512384841,19920,10206
2013,11865,4677125,21740,103,332,555,115,0.45624276,21820,9955
2014,10329,3229043,20845,91,303,521,109,0.509556533,21060,10731
2015,10554,3279039,18723,91,296,463,92,0.481656344,20360,9806
2016,9580,2711254,20001,98,298,498,110,0.488287689,18720,9140
2017,12214,2664051,18418,92,274,460,113,0.401307318,20400,8186
2018,11092,2731239,18477,94,291,464,80,0.461569553,20600,9508
2019,10340,2127034,16017,72,242,407,74,0.462628363,19240,8900
2020,8194,2463021,18770,96,292,473,69,0.572377407,19160,10966
2021,10009,2718125,21367,113,317,523,111,0.463648463,18660,8651
