year,tot_aeq
1992,10549.185242460762
1993,12177.135372163577
1994,5371.666446739175
1995,8460.258077994566
1996,5475.684840065034
1997,4259.515867563769
1998,5446.725910845905
1999,4237.449382227369
2000,9572.604164475197
2001,6037.936752623336
2002,7743.733487951003
2003,5644.437158066383
2004,13548.671236841223
2005,16321.586345614469
2006,12190.766177440737
2007,13125.482073506937
2008,11622.911344739836
2009,13338.693516328207
2010,6303.950021693676
2011,10186.558201013888
2012,11401.718290392182
2013,8840.099667895804
2014,9459.483747829243
2015,9229.04269873438
2016,11729.669233213343
